FID,id,site_id,latitude,longitude,country_id,month_start,year_start,month_end,year_end,species,id_method1,id_method2,sample_method1,sample_method2,sample_method3,sample_method4,assi,citation
Anopheline_Data.fid-4b4ba6ae_1627243c985_7496,66211,1000016987,7.0167,6.2667,NGA,,,,,Anopheles gambiae Giles 1902 / Anopheles coluzzii Coetzee & Wilkerson 2013,chromosomal banding sequences ,,house resting inside,,,,,MARA. (2009). <i>MARA - distribution records of <i>Anopheles gambiae</i> species.</i>
Anopheline_Data.fid-4b4ba6ae_1627243c985_7497,5799,1000000592,6.45,3.4,NGA,1,2000,1,2000,"Anopheles arabiensis Patton, 1905",morphology,polymerase chain reaction method,man biting indoors,house resting inside,,,,"Awolola, T.S., Okwa, Hunt, R.H., Ogunrinade, A.F. and Coetzee, M. (2002).  <b>Dynamics of the malaria-vector populations in coastal Lagos, south-western Nigeria.</b> <i>Annals of Tropical Medicine and Parasitology</i>, <b>96</b>(1):75-82"
Anopheline_Data.fid-4b4ba6ae_1627243c985_7498,5800,1000000592,6.45,3.4,NGA,2,2000,2,2000,"Anopheles arabiensis Patton, 1905",morphology,polymerase chain reaction method,man biting indoors,house resting inside,,,,"Awolola, T.S., Okwa, Hunt, R.H., Ogunrinade, A.F. and Coetzee, M. (2002).  <b>Dynamics of the malaria-vector populations in coastal Lagos, south-western Nigeria.</b> <i>Annals of Tropical Medicine and Parasitology</i>, <b>96</b>(1):75-82"
Anopheline_Data.fid-4b4ba6ae_1627243c985_7499,5801,1000000592,6.45,3.4,NGA,3,2000,3,2000,"Anopheles arabiensis Patton, 1905",morphology,polymerase chain reaction method,man biting indoors,house resting inside,,,,"Awolola, T.S., Okwa, Hunt, R.H., Ogunrinade, A.F. and Coetzee, M. (2002).  <b>Dynamics of the malaria-vector populations in coastal Lagos, south-western Nigeria.</b> <i>Annals of Tropical Medicine and Parasitology</i>, <b>96</b>(1):75-82"
Anopheline_Data.fid-4b4ba6ae_1627243c985_749a,5802,1000000592,6.45,3.4,NGA,4,2000,4,2000,"Anopheles arabiensis Patton, 1905",morphology,polymerase chain reaction method,man biting indoors,house resting inside,,,,"Awolola, T.S., Okwa, Hunt, R.H., Ogunrinade, A.F. and Coetzee, M. (2002).  <b>Dynamics of the malaria-vector populations in coastal Lagos, south-western Nigeria.</b> <i>Annals of Tropical Medicine and Parasitology</i>, <b>96</b>(1):75-82"
Anopheline_Data.fid-4b4ba6ae_1627243c985_749b,5803,1000000592,6.45,3.4,NGA,5,2000,5,2000,"Anopheles arabiensis Patton, 1905",morphology,polymerase chain reaction method,man biting indoors,house resting inside,,,,"Awolola, T.S., Okwa, Hunt, R.H., Ogunrinade, A.F. and Coetzee, M. (2002).  <b>Dynamics of the malaria-vector populations in coastal Lagos, south-western Nigeria.</b> <i>Annals of Tropical Medicine and Parasitology</i>, <b>96</b>(1):75-82"
Anopheline_Data.fid-4b4ba6ae_1627243c985_749c,5804,1000000592,6.45,3.4,NGA,6,2000,6,2000,"Anopheles arabiensis Patton, 1905",morphology,polymerase chain reaction method,man biting indoors,house resting inside,,,,"Awolola, T.S., Okwa, Hunt, R.H., Ogunrinade, A.F. and Coetzee, M. (2002).  <b>Dynamics of the malaria-vector populations in coastal Lagos, south-western Nigeria.</b> <i>Annals of Tropical Medicine and Parasitology</i>, <b>96</b>(1):75-82"
Anopheline_Data.fid-4b4ba6ae_1627243c985_749d,5805,1000000592,6.45,3.4,NGA,7,2000,7,2000,"Anopheles arabiensis Patton, 1905",morphology,polymerase chain reaction method,man biting indoors,house resting inside,,,,"Awolola, T.S., Okwa, Hunt, R.H., Ogunrinade, A.F. and Coetzee, M. (2002).  <b>Dynamics of the malaria-vector populations in coastal Lagos, south-western Nigeria.</b> <i>Annals of Tropical Medicine and Parasitology</i>, <b>96</b>(1):75-82"
Anopheline_Data.fid-4b4ba6ae_1627243c985_749e,5806,1000000592,6.45,3.4,NGA,8,2000,8,2000,"Anopheles arabiensis Patton, 1905",morphology,polymerase chain reaction method,man biting indoors,house resting inside,,,,"Awolola, T.S., Okwa, Hunt, R.H., Ogunrinade, A.F. and Coetzee, M. (2002).  <b>Dynamics of the malaria-vector populations in coastal Lagos, south-western Nigeria.</b> <i>Annals of Tropical Medicine and Parasitology</i>, <b>96</b>(1):75-82"
Anopheline_Data.fid-4b4ba6ae_1627243c985_749f,5807,1000000592,6.45,3.4,NGA,9,2000,9,2000,"Anopheles arabiensis Patton, 1905",morphology,polymerase chain reaction method,man biting indoors,house resting inside,,,,"Awolola, T.S., Okwa, Hunt, R.H., Ogunrinade, A.F. and Coetzee, M. (2002).  <b>Dynamics of the malaria-vector populations in coastal Lagos, south-western Nigeria.</b> <i>Annals of Tropical Medicine and Parasitology</i>, <b>96</b>(1):75-82"
